Resource ID,Ethereum Token Address,Ethereum Handler Address,Ethereum Token Name,Ethereum Token Symbol,Ethereum Token Decimals,Avalanche Token Address,Avalanche Handler Address,Avalanche Token Name,Avalanche Token Symbol,Avalanche Token Decimals
000000000000000000000000006100f7090010005f1bd7ae6122c3c2cf009001,0x00006100F7090010005F1bd7aE6122c3C2CF0090,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,TrueAUD,TAUD,18,0x82913383A48712C6A876E611A0412395B86e74B1,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,TrueAUD,TAUD,18
000000000000000000000000000100f2a2bd000715001920eb70d22970008501,0x00000100F2A2bd000715001920eB70D229700085,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,TrueCAD,TCAD,18,0xbf65c0f333954EBC49aab45fB6F04Bee27F72495,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,TrueCAD,TCAD,18
000000000000000000000000000000441378008ea67f4284a57932b1c000a501,0x00000000441378008EA67F4284A57932B1c000a5,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,TrueGBP,TGBP,18,0x9018775d36d3e39AE5d88a5F502d4cBe430734C5,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,TrueGBP,TGBP,18
00000000000000000000000000852600ceb001e08e00bc008be620d60031f201,0x0000852600CEB001E08e00bC008be620d60031F2,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,TrueHKD,THKD,18,0xc8Eb95dac0033024B4b3fc87569824C4416F495d,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,TrueHKD,THKD,18
00000000000000000000000000000000085d4780b73119b644ae5ecd22b37601,0x0000000000085d4780B73119b644AE5ecd22b376,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,TrueUSD,TUSD,18,0xc458770B5fA66f4DF1498c3D824261D5f5EC3582,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,TrueUSD,TUSD,18
000000000000000000000057700244b20f84799a31c6c96dadff373ca9d6c501,0x57700244B20f84799a31c6C96DadFF373ca9D6c5,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,TRUST DAO,TRUST,18,0x0B483a7E8119d9f9FbFF4a86cd751c51B6a81af9,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,TRUST DAO,TRUST,18
0000000000000000000000679131f591b4f369acb8cd8c51e68596806c391601,0x679131F591B4f369acB8cd8c51E68596806c3916,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Trustlines Network Token,TLN,18,0xC394FBa894e6cD201478BC0F2EF121Acb3182EB4,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Trustlines Network Token,TLN,18
0000000000000000000000cc4304a31d09258b0029ea7fe63d032f52e44efe01,0xCC4304A31d09258b0029eA7FE63d032f52e44EFe,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,TrustSwap Token,SWAP,18,0x17908a369a1884Ce287Bf79c269a16F0Fb84082E,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,TrustSwap Token,SWAP,18
0000000000000000000000e48972fcd82a274411c01834e2f031d4377fa2c001,0xE48972fCd82a274411c01834e2f031D4377Fa2c0,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,TwoKeyEconomy,2KEY,18,0x3F6372f530203daA26eF31F55017a36d6f7405E5,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,TwoKeyEconomy,2KEY,18
000000000000000000000079256db1bdb6259315a1a3d7dd237f69cadfd8fc01,0x79256DB1BDB6259315a1a3D7Dd237F69cADFd8FC,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Typhoon,PHOON,18,0xFb59DE6961D7D7D153bb82FCBCc2a7F5Da8Db56D,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Typhoon,PHOON,18
000000000000000000000012f649a9e821f90bb143089a6e56846945892ffb01,0x12f649A9E821F90BB143089a6e56846945892ffB,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,uDOO,uDOO,18,0xeaa4F0C8bDC6109C92f0A5bE88A035ee11D40928,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,uDOO,uDOO,18
000000000000000000000004fa0d235c4abf4bcf4787af4cf447de572ef82801,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,UMA Voting Token v1,UMA,18,0xC84d7bfF2555955b44BDF6A307180810412D751B,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,UMA Voting Token v1,UMA,18
0000000000000000000000baa70614c7aafb568a93e62a98d55696bcc85dfe01,0xbaA70614C7AAfB568a93E62a98D55696bcc85DFE,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,UniCap.finance,UCAP,18,0x8C32D46C073694045E8409251BE1FFD6720a94F3,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,UniCap.finance,UCAP,18
0000000000000000000000f29e46887ffae92f1ff87dfe39713875da54137301,0xf29e46887FFAE92f1ff87DfE39713875Da541373,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,UniCrypt,UNC,18,0xD084b89B8f04f3E2360EBd600360C358aA122BfB,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,UniCrypt,UNC,18
00000000000000000000000ff6ffcfda92c53f615a4a75d982f399c989366b01,0x0fF6ffcFDa92c53F615a4A75D982f399C989366b,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Unilayer,LAYER,18,0xF8342EBdc7C4860Fe16eaB3318ddA110305F6597,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Unilayer,LAYER,18
00000000000000000000000202be363b8a4820f3f4de7faf5224ff05943ab101,0x0202Be363B8a4820f3F4DE7FaF5224fF05943AB1,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,UniLend Finance Token,UFT,18,0xF5182C77B4a5Dd11a59a83FB54aBaf7Dd3099041,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,UniLend Finance Token,UFT,18
0000000000000000000000f2f9a7e93f845b3ce154efbeb64fb9346fcce50901,0xF2f9A7e93f845b3ce154EfbeB64fB9346FCCE509,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,UniPower,POWER,18,0xFBD70543a1456ECa6570743256dc2D6E5CE43a2e,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,UniPower,POWER,18
00000000000000000000001f9840a85d5af5bf1d1762f925bdaddc4201f98401,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Uniswap,UNI,18,0xf39f9671906d8630812f9d9863bBEf5D523c84Ab,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Uniswap,UNI,18
